repo_id,stars
749137,3787
1555094,3071
2005484,560
4387547,3290
5698643,4083
5797013,5003
7502247,2574
8426406,4920
8681349,49647
9252533,6353
10353211,5902
11274380,118
11579941,1218
12738012,294
13956112,1410
14734876,14243
15988336,1548
18671453,1208
23633128,342
24227875,6426
24561828,14509
25311354,2890
25459400,13839
27222050,4230
29217054,22969
29906842,15308
30860673,2307
30907774,23030
34674210,152
34798315,9528
36420109,1703
36840131,2177
37035067,1591
38182966,3641
38216778,9188
38233033,3302
38696925,29322
39904377,2105
41310523,2507
44961854,967
45103027,214
45271904,9956
45512989,34313
46527265,6041
48660863,2805
48904888,5638
49292670,919
49632852,1250
50202460,3964
53133861,21128
55018634,2426
56639410,1406
57377821,2243
57602001,22917
59341837,934
59982630,2956
60145277,869
60166854,1833
60352717,1550
60377070,7021
61393415,538
61793256,983
61924149,1776
62087567,4597
62476384,166
62824998,2912
62843932,1782
63793563,982
64834778,1342
65017574,6164
65558310,2244
66331305,1539
67437371,643
68125931,14721
69269563,10749
70431106,28824
71849748,633
72225778,602
72329031,425
73964895,14805
74173698,5992
75190475,7365
75587993,1843
75710587,4066
76678740,2164
76768630,2820
77023811,3120
77321225,750
77341954,2570
78200488,5577
78313173,10445
78732688,851
79263545,225
79372336,2122
80240424,4317
82841862,7007
83542054,1789
83878269,15766
84099393,193
84949566,2052
85768267,227
86599573,6527
87067212,9943
88113789,2319
88222263,1754
90733436,3825
90862638,1938
91857770,802
92287968,15418
94956993,1532
95574086,2028
96012614,743
96256108,710
96416890,184
96853855,1976
97794087,816
97817788,115
98441914,1062
98499283,7294
99139417,179
99379143,1947
99412308,9493
99561213,2999
102067496,2178
102102105,770
102538419,837
102692863,21175
103229836,1680
104722806,5107
104854615,7845
105769029,1222
105808063,218
107108009,4279
107111421,73262
107115042,1858
107305157,1768
107878597,201
108945887,4869
109678660,1761
110606051,647
111699912,889
112103066,6922
112488313,1535
113166974,6615
113577479,1301
114540126,3085
114870155,3520
115673437,1835
115744122,4640
116590428,2615
116697549,3584
116797311,12228
117433667,207
119160553,39987
119741627,472
120720556,2086
121637551,9512
122595764,134
122715432,1665
122816625,1470
123197101,1408
123693096,443
124853261,3523
124882400,1090
125007217,1127
125099497,562
125444399,1771
125862390,2287
128061014,180
129847467,3306
131582572,20791
131881622,14829
131955509,274
132464395,157135
133060053,3529
133444044,2257
134584107,109
136799312,889
137123785,275
137789266,1675
138141023,216
138552196,24833
139945544,875
142422739,10884
142569591,248
142908872,6577
143284193,2620
143328315,39468
145693916,11283
146103950,1823
146435045,4727
146633589,37438
146856200,2886
146863062,5402
147229508,416
148067600,198
148550577,330
150864645,1073
151619717,38405
151904296,1947
152071156,878
156157055,48812
156317154,15104
156401841,9865
156946744,6483
157198623,12830
157908837,177
158025053,688
158673445,4641
158744344,3415
159110178,3122
159797814,950
159916548,3025
160361977,3681
161247988,3394
162021652,8128
163235189,1651
164433070,4208
165041732,25799
165645094,617
166911196,286
167694194,34444
168062479,206
168149502,1763
168269440,6346
169158585,2928
169991845,923
170118596,6114
170777132,7044
171564291,229
172407982,838
172519084,174
173005932,2270
173544440,7723
173827642,1463
175052225,10308
176858880,4662
176982014,17120
177614859,623
178470457,502
178626720,31240
178976529,8728
180307968,1535
180827233,9495
181222410,3399
181436799,15690
182067506,10924
182163054,1918
182865216,2140
185401193,1755
186056630,916
186332888,2318
186698598,1685
186872119,5220
187398354,1139
188356619,2970
189425886,218
189602331,268
191179628,1308
191194671,634
191751197,268
193332705,1969
193973813,424
196340907,1788
197009243,107
198483875,225
200004447,4076
200471228,854
200722670,17793
201025777,14818
201441751,2439
203558879,239
204388092,6653
204786174,823
206314293,1380
207454227,447
207988739,788
209556497,9139
209709465,3780
210357243,1412
212056242,1884
212747520,4253
213250662,548
216243021,971
216525761,434
217049858,1135
217113590,6334
217775615,730
218177655,394
218952803,13054
219035799,10897
219623588,4804
221121871,4974
221631156,1822
221733013,747
221787282,5141
222209282,694
222780595,4651
222824662,16077
223357324,4271
224261160,377
224908244,10728
225125850,138
225260962,16430
225572038,5628
226046528,2272
226368168,1529
227055040,417
228203350,3327
232627037,585
232876381,3784
232901618,2191
233587412,441
234676361,421
236624100,800
238593012,612
239828934,132
241021214,2530
244620269,13958
245127811,720
245949080,1022
247865662,1612
248977013,1193
250036571,3805
251041078,5245
251233119,211
251396732,10262
253079431,1272
253849484,6291
255823049,2563
257327148,637
257520135,361
257648141,2822
260420185,4019
261098554,864
261372860,13594
262296122,85853
262424540,3090
264675954,17334
265127379,448
265850286,970
267420351,1416
267857463,5194
269773439,160
270670394,1956
271090649,3982
271800973,2583
271828142,1710
272785290,1900
272924197,326
273082432,1681
273337347,1343
273630336,340
274610956,1995
275182202,235
276288252,1917
279643881,3617
280784933,494
281475256,1768
281519510,4053
284824224,3222
284864176,4423
285951873,2902
285973698,2035
286408558,2086
286876809,543
288142727,768
288187811,943
288411806,286
288482469,10716
289205582,1522
289605524,7623
290091948,67190
290373506,10647
290686772,397
291070953,567
291703561,7655
291787503,11675
292617111,409
292896321,660
293572361,391
293631918,820
295608796,1485
297302063,4260
297535227,717
297672263,7748
300789100,1179
300996055,25420
302827809,9391
303541321,2091
303705119,3782
303953548,142
304530333,1981
305492699,1109
305572443,204
306242293,608
306977633,31144
306980630,5921
307213173,31178
307315411,566
309504885,3448
310368642,540
312042527,1681
312152973,3386
314748658,800
315977578,7711
316328024,786
318515767,170
320299900,9180
320598037,1372
321181247,143
321994701,608
322270485,1027
322855089,10691
323048702,70797
323651234,7444
326174741,35574
326479996,1838
327113050,5629
328236233,432
330325505,4319
330768122,2571
332181872,1323
333421996,5159
333624050,678
333867421,161
334567245,8603
334760721,1215
334848347,9163
336132980,372
337924729,729
338717688,861
340339997,11324
341473983,2062
342728683,9444
343203057,2123
343429224,1347
344069267,489
344190478,52469
345180734,1839
346124279,3028
346676718,757
350375089,4415
350871478,911
351720449,1582
353670076,2960
353968278,773
354138793,6442
354751914,957
356881804,2343
357328206,812
357891182,2012
358208946,381
358276714,155
359839626,7995
361511031,2824
361735570,2287
367549861,834
370275343,646
370342171,1231
370728359,1797
371631642,402
373308826,4740
373674258,8333
377631316,213
377866577,265
379581563,3106
380191749,17325
381317767,165
381952060,1630
382835373,660
383121608,281
384562101,227
385275507,3819
387786881,3447
388636965,2880
391273014,384
391777965,627
393571599,36923
393874035,14629
394089041,3036
395688425,4076
398941751,381
400215964,39335
400918657,357
401484223,9439
404924772,933
405929837,2741
406341006,471
407722319,12358
409653223,3952
411987045,503
415956481,377
416312227,211
417875186,764
418399149,1081
420628968,1824
422148948,4124
422274596,41417
423991420,1740
425484875,1336
427347642,1011
429104828,3644
429736266,10172
432730711,3014
432768606,548
433054511,2258
434324346,976
436617251,183
438416676,2449
438419937,11050
438514144,11207
439033158,4567
439528372,1097
440603375,621
440752086,13884
442706416,688
443220240,5124
443497884,834
444251617,370
444442096,4576
445768278,5182
446713689,968
448167075,2994
448343090,2726
448398954,877
449649393,18288
449649595,2465
450291588,2643
451309277,356
452821660,668
457995289,770
458086533,872
458411579,574
458461908,416
458588993,8331
459466436,2380
460761639,1938
460867737,470
463439055,507
464704193,2991
468576060,74765
469136195,1328
469377939,1164
470779379,788
470832353,161
471249443,3088
472525693,646
473736446,381
474150870,1525
475150006,372
476918521,1947
477657302,367
477846408,825
477999739,1107
478484453,2179
478823173,11305
479199191,3032
479916584,1084
480303698,2214
480318757,521
481427289,1216
483260394,407
483678677,144
483710165,347
484017724,315
486656484,1268
487309566,2828
488091508,113
488641606,41302
489105078,1195
492526669,6365
493209224,108
495587598,8418
496192011,606
496233655,2334
496844646,517
497184741,470
497356715,837
497512032,12889
497780232,1103
498011141,34117
498575448,1442
498766488,10275
499173659,489
499272646,1116
500427876,631
501192860,994
502863191,13226
503178978,417
506404806,538
507861208,3701
507972385,3494
509133407,564
509153572,3828
510360767,702
511003180,1176
511492785,2098
511745849,5977
513534410,970
514644612,314
515647260,36268
516505460,1878
516962930,2428
519577891,47404
520969009,36447
521688260,134
522133400,17180
522165515,792
522180634,1850
522895309,1638
524092789,432
525327651,330
525592995,27635
525605934,366
526514610,1420
526725525,335
527359569,2435
527796682,747
527889855,897
528076983,449
528328355,1246
528350188,3246
528763774,741
528771628,370
529560594,7318
529954479,760
530072220,367
530323399,3503
531653392,2105
531788813,3879
532465933,6240
533127272,13575
533199740,7734
533451541,4701
533601913,429
533752345,353
533934365,367
534330590,8186
534779800,1338
534817329,2621
535063290,657
535379921,396
535492585,368
535691024,3361
536013043,1937
536244334,496
536314590,1474
536492655,892
536614303,366
537093072,490
537940881,3210
538180525,15024
538375570,1880
538408555,494
539045602,418
539389184,7915
539888500,17229
540357453,920
540685210,924
541147441,1960
541269386,51885
541322916,5819
541841924,347
542185751,7279
542713154,1641
542763041,1216
542772373,390
543063415,994
543189172,1986
543297533,790
543955160,4530
544039155,1071
544618040,560
545130358,603
545595027,1545
545918043,2037
546206616,28836
546466467,2548
546476703,8848
547227418,388
547725599,11784
547919119,659
548093252,801
548735230,1970
549133772,1389
549830413,7192
550981146,1235
551376520,60043
551689337,2854
552580878,912
552660722,837
554771302,12361
555532742,497
555659262,538
556522959,1627
556553471,1401
557271203,509
557880310,593
558278400,503
558368772,1347
558653606,486
559759491,809
560299175,21510
560704231,50956
560859378,919
561175504,689
561434347,1852
561902498,534
562595985,646
562754304,2355
563259458,503
564597496,1066
565372076,2420
565563619,4060
565658766,998
565772050,748
566323731,13883
568194185,366
568517086,2676
568776116,441
569265598,2514
569559542,261
569687650,1253
569860278,1263
569988037,375
570015943,769
570020780,4202
570384908,21419
570530787,600
570663084,358
570696986,3898
571055479,4091
571148432,281
571722519,318
572071014,1000
572087603,342
572570113,15691
572620767,1740
573203577,380
573224813,523
573661753,23340
573759422,6449
573822937,3718
573891417,1194
573963587,757
573982889,3886
574046356,2737
574095904,458
574097989,8209
574116196,13068
574156195,3445
574160606,3455
574210381,274
574278577,5514
574347022,919
574411233,2624
574428530,4179
574578825,8237
574612724,3872
574727842,732
574861362,1236
575042276,3452
575051095,5933
575253452,3587
575267939,3744
575295397,3789
575340621,54408
575628616,7547
575997792,1976
576005588,3766
576072728,2106
576204079,691
576254831,3867
576380523,7865
576696753,4000
576799754,453
576869790,2009
576921601,3159
577116112,61052
577603990,37379
577753426,4437
577953547,455
578245357,1237
578272278,551
