repo_id,stars
749137,3795
1555094,3080
2005484,560
4387547,3298
5698643,4105
5797013,5076
7502247,2577
8426406,4940
8681349,49798
9252533,6351
10353211,6007
11274380,118
11579941,1217
12738012,295
13956112,1418
14734876,14245
15988336,1691
18671453,1210
23633128,342
24227875,6429
24561828,14509
25311354,2890
25459400,13862
27222050,4229
29217054,23015
29906842,15805
30860673,2310
30907774,23074
34674210,153
34798315,9537
36420109,1704
36840131,2177
37035067,1590
38182966,3645
38216778,9200
38233033,3304
38696925,29414
39904377,2113
41310523,2505
44961854,971
45103027,214
45271904,10005
45512989,34329
46527265,6038
48660863,2804
48904888,5665
49292670,920
49632852,1250
50202460,3966
53133861,21125
55018634,2444
56639410,1406
57377821,2247
57602001,22965
59341837,934
59982630,2953
60145277,868
60166854,1830
60352717,1554
60377070,7052
61393415,537
61793256,982
61924149,1783
62087567,4603
62476384,166
62824998,2911
62843932,1784
63793563,981
64834778,1347
65017574,6163
65558310,2256
66331305,1541
67437371,643
68125931,14748
69269563,10769
70431106,28860
71849748,631
72225778,602
72329031,425
73964895,14871
74173698,5998
75190475,7371
75587993,1850
75710587,4067
76678740,2165
76768630,2818
77023811,3128
77321225,749
77341954,2576
78200488,5592
78313173,10447
78732688,851
79263545,225
79372336,2123
80240424,4376
82841862,7012
83542054,1804
83878269,15820
84099393,193
84949566,2056
85768267,227
86599573,6658
87067212,9943
88113789,2319
88222263,1754
90733436,3840
90862638,1938
91857770,802
92287968,15428
94956993,1531
95574086,2033
96012614,744
96256108,709
96416890,184
96853855,1990
97794087,814
97817788,115
98441914,1063
98499283,7336
99139417,182
99379143,1971
99412308,9556
99561213,3032
102067496,2182
102102105,769
102538419,837
102692863,21316
103229836,1680
104722806,5109
104854615,7861
105769029,1223
105808063,218
107108009,4280
107111421,73539
107115042,1857
107305157,1781
107878597,202
108945887,4909
109678660,1762
110606051,650
111699912,889
112103066,6943
112488313,1534
113166974,6701
113577479,1301
114540126,3094
114870155,3681
115673437,1851
115744122,4665
116590428,2651
116697549,3580
116797311,12224
117433667,207
119160553,40074
119741627,473
120720556,2089
121637551,9537
122595764,134
122715432,1667
122816625,1485
123197101,1409
123693096,442
124853261,3523
124882400,1099
125007217,1126
125099497,562
125444399,1773
125862390,2286
128061014,180
129847467,3309
131582572,20787
131881622,14844
131955509,273
132464395,157781
133060053,3546
133444044,2268
134584107,109
136799312,891
137123785,275
137789266,1674
138141023,216
138552196,25547
139945544,876
142422739,10895
142569591,248
142908872,6582
143284193,2674
143328315,39584
145693916,11315
146103950,1824
146435045,4730
146633589,37487
146856200,2890
146863062,5405
147229508,416
148067600,197
148550577,330
150864645,1079
151619717,38542
151904296,1951
152071156,879
156157055,49091
156317154,15157
156401841,9922
156946744,6521
157198623,12834
157908837,177
158025053,688
158673445,4648
158744344,3442
159110178,3129
159797814,952
159916548,3032
160361977,3689
161247988,3397
162021652,8151
163235189,1652
164433070,4279
165041732,25865
165645094,617
166911196,285
167694194,35122
168062479,211
168149502,1763
168269440,6346
169158585,2931
169991845,921
170118596,6135
170777132,7045
171564291,230
172407982,841
172519084,175
173005932,2279
173544440,7736
173827642,1464
175052225,10319
176858880,4667
176982014,17447
177614859,627
178470457,504
178626720,31286
178976529,8787
180307968,1534
180827233,9512
181222410,3399
181436799,15884
182067506,10953
182163054,1917
182865216,2144
185401193,1756
186056630,916
186332888,2319
186698598,1686
186872119,5226
187398354,1146
188356619,2981
189425886,219
189602331,269
191179628,1308
191194671,634
191751197,268
193332705,1969
193973813,422
196340907,1794
197009243,107
198483875,225
200004447,4074
200471228,858
200722670,18137
201025777,14812
201441751,2443
203558879,240
204388092,6669
204786174,831
206314293,1392
207454227,447
207988739,788
209556497,9172
209709465,3779
210357243,1414
212056242,1882
212747520,4254
213250662,548
216243021,975
216525761,437
217049858,1133
217113590,6336
217775615,728
218177655,395
218952803,13187
219035799,10971
219623588,4811
221121871,4976
221631156,1825
221733013,748
221787282,5160
222209282,745
222780595,4658
222824662,16164
223357324,4277
224261160,377
224908244,10772
225125850,137
225260962,16499
225572038,5914
226046528,2272
226368168,1543
227055040,421
228203350,3343
232627037,583
232876381,3783
232901618,2191
233587412,441
234676361,422
236624100,799
238593012,613
239828934,132
241021214,2525
244620269,14159
245127811,719
