repo_id,stars
749137,3795
1555094,3079
2005484,560
4387547,3299
5698643,4110
5797013,5093
7502247,2579
8426406,4947
8681349,49833
9252533,6351
10353211,6038
11274380,118
11579941,1217
12738012,294
13956112,1417
14734876,14245
15988336,1714
18671453,1211
23633128,342
24227875,6429
24561828,14509
25311354,2890
25459400,13862
27222050,4228
29217054,23030
29906842,15991
30860673,2309
30907774,23084
34674210,153
34798315,9535
36420109,1704
36840131,2178
37035067,1589
38182966,3643
38216778,9198
38233033,3303
38696925,29419
39904377,2113
41310523,2505
44961854,971
45103027,214
45271904,10013
45512989,34328
46527265,6037
48660863,2804
48904888,5673
49292670,920
49632852,1250
50202460,3966
53133861,21122
55018634,2448
56639410,1406
57377821,2249
57602001,22975
59341837,933
59982630,2953
60145277,868
60166854,1830
60352717,1554
60377070,7059
61393415,537
61793256,981
61924149,1786
62087567,4603
62476384,166
62824998,2911
62843932,1785
63793563,983
64834778,1348
65017574,6163
65558310,2258
66331305,1542
67437371,643
68125931,14751
69269563,10782
70431106,28866
71849748,631
72225778,602
72329031,425
73964895,14874
74173698,5997
75190475,7373
75587993,1850
75710587,4068
76678740,2166
76768630,2819
77023811,3130
77321225,749
77341954,2577
78200488,5597
78313173,10450
78732688,851
79263545,225
79372336,2123
80240424,4392
82841862,7012
83542054,1803
83878269,15832
84099393,193
84949566,2056
85768267,227
86599573,6667
87067212,9959
88113789,2319
88222263,1754
90733436,3839
90862638,1937
91857770,802
92287968,15427
94956993,1531
95574086,2033
96012614,744
96256108,709
96416890,184
96853855,1990
97794087,815
97817788,115
98441914,1064
98499283,7341
99139417,182
99379143,1980
99412308,9570
99561213,3039
102067496,2183
102102105,769
102538419,837
102692863,21343
103229836,1682
104722806,5110
104854615,7865
105769029,1224
105808063,218
107108009,4280
107111421,73608
107115042,1857
107305157,1783
107878597,202
108945887,4914
109678660,1763
110606051,651
110795721,4489
111699912,888
112103066,6946
112488313,1534
113166974,6707
113577479,1301
114540126,3097
114870155,3749
115673437,1854
115744122,4668
116590428,2667
116697549,3580
116797311,12227
117433667,207
119160553,40097
119741627,473
120720556,2089
121637551,9556
122595764,134
122715432,1668
122816625,1485
123197101,1407
123693096,442
124853261,3523
124882400,1111
125007217,1126
125099497,562
125444399,1774
125862390,2286
128061014,180
129847467,3309
131582572,20786
131881622,14841
131955509,273
132464395,157939
133060053,3548
133444044,2273
134584107,109
136799312,892
137123785,275
137789266,1673
138141023,216
138552196,27167
139945544,877
142422739,10897
142569591,248
142908872,6582
143284193,2681
143328315,39626
145693916,11323
146103950,1823
146435045,4733
146633589,37500
146856200,2893
146863062,5406
147229508,416
148067600,197
148550577,330
150864645,1079
151619717,38594
151904296,1955
152071156,879
156157055,49176
156317154,15170
156401841,9959
156946744,6529
157198623,12835
157908837,177
158025053,687
158673445,4655
158744344,3449
159110178,3130
159797814,952
159916548,3030
160361977,3689
161247988,3397
162021652,8159
163235189,1652
164433070,4291
165041732,25877
165645094,617
166911196,285
167694194,35281
168062479,213
168149502,1764
168269440,6341
169158585,2930
169991845,921
170118596,6141
170777132,7043
171564291,230
172407982,841
172519084,174
173005932,2282
173544440,7736
173827642,1465
175052225,10321
176858880,4664
176982014,17510
177614859,629
178470457,505
178626720,31299
178976529,8795
180307968,1534
180827233,9513
181222410,3398
181436799,15944
182067506,10961
182163054,1917
182865216,2144
185401193,1754
186056630,916
186332888,2320
186698598,1683
186872119,5228
187398354,1147
188356619,2980
189425886,219
189602331,270
191179628,1308
191194671,634
191751197,268
193332705,1968
193973813,422
196340907,1795
197009243,107
198483875,225
200004447,4076
200471228,858
200722670,18205
201025777,14811
201441751,2443
203558879,240
204388092,6671
204786174,837
206314293,1394
207454227,447
207988739,788
209556497,9181
209709465,3782
210357243,1413
212056242,1882
212747520,4254
213250662,547
216243021,976
216525761,436
217049858,1133
217113590,6339
217775615,728
218177655,395
218952803,13227
219035799,10983
219623588,4811
221121871,4976
221631156,1826
221733013,748
221787282,5158
222209282,746
222780595,4659
222824662,16190
223357324,4279
224261160,376
224908244,10775
225125850,137
225260962,16521
225572038,6085
226046528,2272
226368168,1547
227055040,421
228203350,3347
232627037,583
232876381,3783
232901618,2191
233587412,441
234676361,422
236624100,799
238593012,613
239828934,132
241021214,2523
244620269,14160
245127811,719
245949080,1023
247865662,1611
248977013,1212
249995750,41479
250036571,3834
251041078,5283
251233119,213
251396732,10337
253079431,1269
253849484,6385
255823049,2574
257327148,638
257520135,359
257648141,2825
260420185,4045
261098554,862
261372860,13717
262296122,88086
262424540,3107
264675954,17377
265127379,449
265850286,972
267420351,1414
267857463,5260
269773439,160
270670394,1961
271090649,3995
271800973,2594
271828142,1718
272785290,1903
272924197,326
273082432,1686
273337347,1352
273630336,344
274610956,1992
275182202,236
276288252,1920
279643881,3658
280784933,494
281475256,1779
281519510,4062
284824224,3225
284864176,4442
285951873,2902
285973698,2048
286408558,2112
286876809,548
288142727,773
288187811,945
288411806,288
288482469,10742
289205582,1537
289605524,7679
290091948,67331
290373506,10674
290686772,397
291070953,577
291703561,7890
291787503,11747
292617111,408
292648103,345
292896321,660
293572361,395
293631918,824
295608796,1494
297302063,4353
297535227,718
297672263,7797
300789100,1181
300996055,25487
302827809,9423
303541321,2087
303705119,3795
303953548,142
304530333,1985
305492699,1111
305572443,205
306242293,609
306977633,31218
306980630,5938
307213173,31427
307315411,564
309504885,3518
310368642,540
312042527,1682
312152973,3393
314748658,801
315977578,7829
316328024,783
318515767,170
320299900,9268
320598037,1374
321181247,143
321994701,615
322270485,1028
322855089,10797
323048702,72133
323651234,7455
326174741,36446
326479996,1844
327113050,5628
328236233,432
330325505,4316
330768122,2572
332181872,1333
333421996,5153
333624050,677
333867421,161
334567245,9436
334760721,1214
334848347,9259
336132980,372
337924729,729
338717688,861
340339997,11433
341473983,2085
342728683,9460
343203057,2129
343429224,1344
344069267,490
344190478,66178
345180734,1839
346124279,3037
346676718,758
350375089,4424
350871478,912
351720449,1596
353670076,2966
353968278,772
354138793,6443
354751914,957
356881804,2353
357328206,811
357891182,2012
358208946,382
358276714,155
359839626,8321
361511031,2909
361735570,2300
367549861,834
370275343,647
370342171,1230
370728359,1799
371631642,403
373308826,4755
373674258,8430
377631316,212
377866577,264
379581563,3109
380191749,17381
381317767,166
381952060,1645
382835373,659
383121608,282
384562101,227
385275507,3821
387786881,3465
388636965,2882
391273014,381
391777965,626
393571599,36913
393874035,14676
394089041,3069
395688425,4141
398941751,380
400215964,39632
400918657,358
401484223,9491
403559729,7763
404924772,928
405929837,2741
406341006,475
407722319,12364
409653223,3993
411987045,503
415956481,377
416312227,211
417875186,764
418399149,1089
420628968,1854
422148948,4126
422274596,41438
423991420,1750
425484875,1491
427347642,1010
429104828,3653
429736266,10277
432730711,3019
432768606,548
433054511,2268
434324346,976
436617251,183
438416676,2480
438419937,11127
438514144,11279
439033158,4582
439528372,1100
440603375,621
440752086,14223
442706416,701
443220240,5154
443497884,843
444251617,370
445768278,5198
446713689,969
448167075,2988
448343090,2756
448398954,878
449649393,18412
449649595,2494
450291588,2644
451309277,356
452821660,666
457995289,775
458086533,871
458411579,580
458461908,417
458588993,8329
459466436,2476
460761639,1938
460867737,464
463439055,523
