repo_id,stars
749137,3796
1555094,3079
2005484,560
4387547,3300
5698643,4114
5797013,5106
7502247,2581
8426406,4953
8681349,49858
9252533,6349
10353211,6059
11274380,118
11579941,1217
12738012,294
13956112,1418
14734876,14246
15988336,1740
18671453,1210
23633128,342
24227875,6429
24561828,14508
25311354,2890
25459400,13861
27222050,4229
29217054,23045
29906842,16221
30860673,2310
30907774,23093
34674210,153
34798315,9535
36420109,1704
36840131,2181
37035067,1589
38182966,3643
38216778,9204
38233033,3303
38696925,29436
39904377,2115
41310523,2505
44961854,971
45103027,214
45271904,10023
45512989,34333
46527265,6038
48660863,2804
48904888,5681
49292670,920
49632852,1251
50202460,3967
53133861,21121
55018634,2454
56639410,1407
57377821,2251
57602001,22987
59341837,933
59982630,2951
60145277,867
60166854,1830
60352717,1555
60377070,7071
61393415,537
61793256,982
61924149,1788
62087567,4604
62476384,166
62824998,2910
62843932,1785
63793563,983
64834778,1347
65017574,6161
65558310,2261
66331305,1543
67437371,643
68125931,14757
69269563,10781
70431106,28862
71849748,631
72225778,602
72329031,425
73964895,14881
74173698,5998
75190475,7373
75587993,1852
75710587,4068
76678740,2168
76768630,2820
77023811,3133
77321225,749
77341954,2578
78200488,5599
78313173,10453
78732688,851
79263545,225
79372336,2123
80240424,4401
82841862,7013
83542054,1804
83878269,15845
84099393,193
84949566,2056
85768267,227
86599573,6682
87067212,9962
88113789,2317
88222263,1754
90733436,3841
90862638,1938
91857770,802
92287968,15428
94956993,1532
95574086,2032
96012614,743
96256108,709
96416890,184
96853855,1991
97794087,816
97817788,115
98441914,1064
98499283,7356
99139417,182
99379143,1986
99412308,9594
99561213,3046
102067496,2185
102102105,769
102538419,838
102692863,21369
103229836,1682
104722806,5111
104854615,7867
105769029,1224
105808063,218
107108009,4280
107111421,73912
107115042,1857
107305157,1785
107878597,202
108945887,4920
109678660,1762
110606051,652
110795721,4504
111699912,889
112103066,6948
112488313,1534
113166974,6709
113577479,1301
114540126,3099
114870155,3802
115673437,1856
115744122,4672
116590428,2673
116697549,3581
116797311,12225
117433667,207
119160553,40114
119741627,474
120720556,2089
121637551,9569
122595764,134
122715432,1669
122816625,1487
123197101,1408
123693096,442
124853261,3523
124882400,1112
125007217,1126
125099497,562
125444399,1775
125862390,2284
128061014,180
129847467,3310
131582572,20790
131881622,14841
131955509,273
132464395,158075
133060053,3550
133444044,2277
134584107,109
136799312,892
137123785,275
137789266,1673
138141023,216
138552196,27948
139945544,877
142422739,10900
142569591,248
142908872,6585
143284193,2686
143328315,39650
145693916,11330
146103950,1825
146435045,4736
146633589,37500
146856200,2895
146863062,5406
147229508,416
148067600,197
148550577,330
150864645,1079
151619717,38631
151904296,1955
152071156,880
156157055,49240
156317154,15187
156401841,9968
156946744,6539
157198623,12835
157908837,177
158025053,687
158673445,4657
158744344,3454
159110178,3132
159797814,952
159916548,3030
160361977,3689
161247988,3399
162021652,8160
163235189,1652
164433070,4312
165041732,25893
165645094,617
166911196,285
167694194,35433
168062479,215
168149502,1764
168269440,6340
169158585,2930
169991845,921
170118596,6147
170777132,7045
171564291,230
172407982,842
172519084,174
173005932,2285
173544440,7737
173827642,1467
175052225,10326
176858880,4665
176982014,17627
177614859,630
178470457,507
178626720,31311
178976529,8809
180307968,1534
180827233,9515
181222410,3400
181436799,15976
182067506,10973
182163054,1917
182865216,2144
185401193,1754
186056630,916
186332888,2321
186698598,1683
186872119,5231
187398354,1149
188356619,2982
189425886,219
189602331,270
191179628,1308
191194671,633
191751197,268
193332705,1967
193973813,422
196340907,1796
197009243,107
198483875,225
200004447,4076
200471228,858
200722670,18342
201025777,14806
201441751,2444
203558879,240
204388092,6678
204786174,839
206314293,1394
207454227,447
207988739,787
209556497,9190
209709465,3783
210357243,1416
212056242,1881
212747520,4254
213250662,547
216243021,977
216525761,438
217049858,1132
217113590,6339
217775615,729
218177655,395
218952803,13246
219035799,10999
219623588,4813
221121871,4975
221631156,1827
221733013,748
221787282,5161
222209282,751
222780595,4659
222824662,16205
223357324,4279
224261160,376
224908244,10790
225125850,137
225260962,16535
225572038,6132
226046528,2272
226368168,1548
227055040,420
228203350,3348
232627037,583
232876381,3783
232901618,2191
233587412,442
234676361,422
236624100,799
238593012,613
239828934,132
241021214,2523
244620269,14164
245127811,719
245949080,1023
247865662,1611
248977013,1214
249995750,41835
250036571,3836
251041078,5287
251233119,213
251396732,10359
253079431,1269
253849484,6404
255823049,2574
257327148,639
257520135,359
257648141,2826
260420185,4050
261098554,862
261372860,13729
262296122,88351
262424540,3110
264675954,17380
265127379,448
265850286,972
267420351,1416
267857463,5282
269773439,160
270670394,1963
271090649,3996
271800973,2597
271828142,1719
272785290,1903
272924197,326
273082432,1689
273337347,1353
273630336,344
274610956,1993
275182202,236
276288252,1920
279643881,3661
280784933,495
281475256,1780
281519510,4062
284824224,3222
284864176,4446
285951873,2901
285973698,2048
286408558,2118
286876809,550
288142727,773
288187811,947
288411806,288
288482469,10749
289205582,1539
289605524,7686
290091948,67362
290373506,10679
290686772,397
291070953,578
291703561,7904
291787503,11748
292617111,408
292648103,345
292896321,660
293572361,397
293631918,824
295608796,1498
297302063,4365
297535227,719
297672263,7805
300789100,1181
300996055,25487
302827809,9424
303541321,2087
303705119,3798
303953548,142
304530333,1985
305492699,1111
305572443,205
306242293,610
306977633,31219
306980630,5942
307213173,31478
307315411,567
309504885,3525
310368642,540
312042527,1682
312152973,3396
314748658,801
315977578,7852
316328024,783
318515767,170
320299900,9278
320598037,1374
321181247,143
321994701,615
322270485,1028
322855089,10806
323048702,72376
323651234,7460
326174741,36585
