repo_id,stars
749137,3810
1555094,3081
2005484,561
4387547,3305
5698643,4127
5797013,5123
7502247,2584
8426406,4969
8681349,49937
9252533,6350
10353211,6193
11274380,118
11579941,1217
12738012,295
13956112,1421
14734876,14255
15988336,1821
18671453,1214
23633128,343
24227875,6428
24561828,14510
25311354,2889
25459400,13866
27222050,4230
29217054,23061
29906842,16440
30860673,2310
30907774,23145
34674210,153
34798315,9538
36420109,1704
36840131,2182
37035067,1590
38182966,3644
38216778,9207
38233033,3302
38696925,29461
39904377,2113
41310523,2505
44961854,972
45103027,214
45271904,10050
45512989,34339
46527265,6036
48660863,2804
48904888,5702
49292670,920
49632852,1251
50202460,3966
53133861,21115
55018634,2461
56639410,1409
57377821,2254
57602001,23147
59341837,933
59982630,2950
60145277,866
60166854,1829
60352717,1557
60377070,7080
61393415,537
61793256,982
61924149,1791
62087567,4606
62476384,165
62824998,2909
62843932,1786
63793563,985
64834778,1350
65017574,6161
65558310,2283
66331305,1543
67437371,643
68125931,14761
69269563,10803
70431106,28870
71849748,631
72225778,602
72329031,425
73964895,14903
74173698,6001
75190475,7377
75587993,1852
75710587,4069
76678740,2168
76768630,2821
77023811,3142
77321225,749
77341954,2581
78200488,5601
78313173,10454
78732688,852
79263545,225
79372336,2123
80240424,4430
82841862,7017
83542054,1803
83878269,15867
84099393,193
84949566,2054
85768267,227
86599573,6739
87067212,9967
88113789,2316
88222263,1754
90733436,3847
90862638,1937
91857770,802
92287968,15433
94956993,1530
95574086,2030
96012614,747
96256108,709
96416890,184
96853855,1993
97794087,815
97817788,115
98441914,1066
98499283,7382
99139417,183
99379143,2011
99412308,9640
99561213,3063
102067496,2187
102102105,769
102538419,838
102692863,21475
103229836,1687
104722806,5110
104854615,7874
105769029,1223
105808063,218
107108009,4279
107111421,74110
107115042,1857
107305157,1792
107878597,202
108945887,4931
109678660,1759
110606051,652
110795721,4516
111699912,890
112103066,6952
112488313,1535
113166974,6717
113577479,1301
114540126,3100
114870155,3928
115673437,1866
115744122,4689
116590428,2708
116697549,3580
116797311,12230
117433667,207
119160553,40184
119741627,474
120720556,2091
121637551,9667
122595764,133
122715432,1673
122816625,1488
123197101,1417
123693096,442
124853261,3528
124882400,1130
125007217,1126
125099497,562
125444399,1776
125862390,2283
128061014,180
129847467,3307
131582572,20791
131881622,14843
131955509,273
132464395,158465
133060053,3555
133444044,2286
134584107,109
136799312,893
137123785,276
137789266,1674
138141023,216
138552196,28814
139945544,878
142422739,10912
142569591,248
142908872,6588
143284193,2699
143328315,39728
145693916,11353
146103950,1823
146435045,4737
146633589,37531
146856200,2899
146863062,5405
147229508,415
148067600,197
148550577,330
150864645,1081
151619717,38739
151904296,1958
152071156,881
156157055,49459
156317154,15237
156401841,10004
156946744,6559
157198623,12836
157908837,177
158025053,686
158673445,4666
158744344,3463
159110178,3137
159797814,952
159916548,3033
160361977,3695
161247988,3397
162021652,8175
163235189,1653
164433070,4361
165041732,25922
165645094,616
166911196,285
167694194,35779
168062479,219
168149502,1766
168269440,6340
169158585,2930
169991845,921
170118596,6156
170777132,7044
171564291,230
172407982,841
172519084,174
173005932,2290
173544440,7734
173827642,1467
175052225,10335
176858880,4666
176982014,17867
177614859,632
178470457,507
178626720,31337
178976529,8835
180307968,1533
180827233,9532
181222410,3402
181436799,16067
182067506,10994
182163054,1914
182865216,2145
185401193,1755
186056630,916
186332888,2325
186698598,1684
186872119,5233
187398354,1155
188356619,2989
189425886,219
189602331,271
191179628,1309
191194671,633
191751197,268
193332705,1968
193973813,423
196340907,1802
197009243,107
198483875,225
200004447,4074
200471228,860
200722670,18429
201025777,14810
201441751,2445
203558879,241
204388092,6682
204786174,849
206314293,1402
207454227,445
207988739,786
209556497,9196
209709465,3784
210357243,1420
212056242,1878
212747520,4254
213250662,546
216243021,980
216525761,438
217049858,1132
217113590,6341
217775615,731
218177655,395
218952803,13314
219035799,11030
219623588,4828
221121871,4973
221631156,1827
221733013,747
221787282,5170
222209282,763
222780595,4660
222824662,16246
223357324,4282
224261160,376
224908244,10802
225125850,137
225260962,16574
225572038,6195
226046528,2271
226368168,1555
227055040,420
228203350,3355
232627037,583
232876381,3781
232901618,2192
233587412,442
234676361,422
236624100,799
238593012,613
239828934,132
241021214,2522
244620269,14192
245127811,719
245949080,1024
247865662,1611
248977013,1220
249995750,42511
250036571,3850
251041078,5303
251233119,213
251396732,10400
253079431,1272
253849484,6453
255823049,2584
257327148,640
257520135,360
257648141,2827
260420185,4058
261098554,862
261372860,13785
262296122,89374
262424540,3113
264675954,17394
265127379,448
265850286,972
267420351,1417
267857463,5301
269773439,159
270670394,1964
271090649,4002
271800973,2604
271828142,1724
272785290,1901
272924197,328
273082432,1694
273337347,1358
273630336,346
274610956,1992
275182202,236
276288252,1924
279643881,3672
280784933,497
281475256,1779
281519510,4065
284824224,3222
284864176,4443
285951873,2900
285973698,2053
286408558,2128
286876809,550
288142727,777
288187811,949
288411806,288
288482469,10764
289205582,1546
289605524,7709
290091948,67425
290373506,10683
290686772,397
291070953,579
291438522,46312
291703561,7961
291787503,11749
292617111,408
292648103,345
292896321,659
293572361,408
293631918,826
295608796,1503
297302063,4557
297535227,721
297672263,7833
300789100,1181
300996055,25501
302827809,9440
303541321,2087
303705119,3806
303953548,141
304530333,1987
305492699,1113
305572443,205
306242293,617
306977633,31232
306980630,5944
307213173,31619
307315411,567
309504885,3547
310368642,544
312042527,1682
312152973,3401
314748658,803
315977578,7911
316328024,783
318515767,169
320299900,9321
320598037,1378
321181247,143
321994701,617
322270485,1030
322855089,10840
323048702,72901
323651234,7462
326174741,36812
326479996,1845
327113050,5625
328236233,432
330325505,4313
330768122,2573
332181872,1339
333421996,5148
333624050,677
333867421,162
334567245,9647
334760721,1215
334848347,9305
336132980,371
337924729,730
338717688,861
340339997,11488
341473983,2097
342728683,9473
343203057,2130
343429224,1343
344069267,490
344190478,68405
345180734,1841
346124279,3041
346676718,758
350375089,4432
350871478,913
351720449,1599
353670076,2967
353968278,772
354138793,6446
354751914,956
356881804,2366
357328206,812
357891182,2011
358208946,381
358276714,155
359839626,8524
361511031,2962
361735570,2301
367549861,834
370275343,647
370342171,1230
370728359,1800
371631642,403
373308826,4761
373674258,8475
377631316,212
377866577,264
379581563,3111
380191749,17410
381317767,165
381952060,1654
382835373,660
383121608,282
384562101,227
385275507,3825
387786881,3486
388636965,2884
391273014,381
391777965,625
393571599,36909
393874035,14705
394089041,3080
395688425,4211
398941751,380
400215964,39973
400918657,357
401484223,9519
403559729,7927
404924772,927
405929837,2740
406341006,476
406408083,870
407722319,12369
409653223,4004
411987045,503
415956481,379
416312227,213
417875186,764
418399149,1097
420628968,1875
422148948,4123
422274596,41438
423101191,1161
423991420,1754
425484875,1493
427347642,1011
429104828,3655
429736266,10314
432730711,3022
432768606,547
433054511,2269
434324346,979
436617251,183
438416676,2506
438419937,11171
438514144,11357
439033158,4598
439528372,1101
440603375,620
440752086,14443
442706416,723
443220240,5169
443497884,851
444251617,370
445768278,5217
446713689,970
448167075,2985
448343090,2776
448398954,878
449649393,18455
449649595,2505
450291588,2645
451309277,357
452821660,670
457995289,779
458086533,872
458411579,581
458461908,417
458588993,8328
458648791,45025
459466436,2492
460761639,1940
460867737,463
463439055,528
464704193,3009
468576060,75941
469136195,1326
469377939,1156
469622127,296
470779379,790
470832353,160
471249443,3262
472525693,646
473736446,381
474150870,1555
475150006,372
476918521,1954
477657302,369
477846408,823
477999739,1117
478484453,2185
478823173,11300
479199191,3044
479916584,1084
480303698,2229
480318757,519
481427289,1268
483260394,411
483678677,144
483710165,349
484017724,321
486656484,1268
487309566,2829
488091508,114
488641606,42143
489105078,1196
492526669,6418
493209224,107
495587598,8424
496192011,619
496233655,2387
496844646,518
497184741,472
497356715,913
497512032,13011
497780232,1130
498011141,34499
498575448,1486
498766488,10358
499173659,490
499272646,1115
500427876,632
501192860,1007
502863191,13520
503178978,419
506404806,536
507861208,3715
507972385,3490
509133407,567
509153572,3826
510360767,705
511003180,1201
511492785,2095
511745849,6007
513534410,975
514644612,312
515647260,36880
516505460,1880
516962930,2511
519577891,49177
520969009,37357
521688260,136
522133400,17756
522165515,794
522180634,1855
522895309,1630
524092789,432
525327651,336
525592995,28196
525605934,367
526514610,1464
526725525,335
527359569,2434
527796682,745
527889855,900
528076983,450
528328355,1268
528350188,3439
528763774,742
528771628,371
529560594,7305
529954479,761
530072220,365
530323399,3506
531653392,2130
531788813,3889
532465933,6250
533127272,13586
533199740,7733
533451541,4707
533601913,433
533752345,357
533934365,371
534330590,8201
534779800,1336
534817329,2624
535063290,684
535379921,396
535492585,369
535691024,3365
536013043,1935
536244334,497
536314590,1557
536492655,890
536614303,366
537093072,488
537940881,3211
538144430,783
538180525,15341
538375570,1891
538408555,495
539045602,418
539389184,7910
539888500,17789
540357453,920
540685210,929
541147441,1955
541269386,53615
541322916,5829
541841924,346
542185751,7520
542713154,1635
542763041,1225
542772373,396
543063415,1011
543189172,1987
543297533,789
543955160,4648
544039155,1068
544618040,565
545130358,611
545595027,1573
545918043,2050
546206616,29285
546466467,2551
546476703,8857
547227418,389
547725599,11784
547919119,660
548093252,802
548735230,1968
549133772,1393
549830413,7248
550981146,1245
551376520,61391
551689337,2857
552580878,967
552660722,838
554771302,12630
555532742,498
555659262,542
556522959,1638
556553471,1474
557271203,523
557880310,594
558278400,503
558368772,1353
558653606,482
559759491,809
560299175,21768
560704231,52131
560859378,920
561175504,699
561434347,1853
561902498,535
562595985,644
562754304,2366
563259458,502
564597496,1069
565372076,2422
565563619,4163
565658766,996
565772050,748
566323731,14569
568194185,365
568517086,2673
568776116,442
569265598,2516
569559542,261
569687650,1252
569860278,1267
569988037,374
570015943,767
570020780,4219
570384908,21661
570530787,598
570663084,358
570696986,3902
571055479,4368
571148432,283
571722519,318
572071014,1012
572087603,343
572570113,16265
572620767,1756
573203577,380
573224813,523
573661753,24410
573759422,6436
573822937,3715
573891417,1203
573963587,756
573982889,3882
574046356,2734
