repo_id,stars
749137,3793
1555094,3079
2005484,560
4387547,3295
5698643,4103
5797013,5067
7502247,2577
8426406,4938
8681349,49783
9252533,6352
10353211,5993
11274380,118
11579941,1217
12738012,295
13956112,1417
14734876,14245
15988336,1681
18671453,1210
23633128,342
24227875,6428
24561828,14507
25311354,2890
25459400,13863
27222050,4229
29217054,23009
29906842,15756
30860673,2309
30907774,23072
34674210,153
34798315,9537
36420109,1704
36840131,2178
37035067,1591
38182966,3645
38216778,9199
38233033,3306
38696925,29404
39904377,2111
41310523,2505
44961854,969
45103027,214
45271904,10005
45512989,34330
46527265,6039
48660863,2804
48904888,5664
49292670,920
49632852,1250
50202460,3966
53133861,21125
55018634,2443
56639410,1407
57377821,2247
57602001,22960
59341837,934
59982630,2954
60145277,868
60166854,1831
60352717,1554
60377070,7047
61393415,537
61793256,982
61924149,1783
62087567,4603
62476384,166
62824998,2911
62843932,1784
63793563,980
64834778,1346
65017574,6163
65558310,2255
66331305,1540
67437371,643
68125931,14746
69269563,10767
70431106,28857
71849748,631
72225778,602
72329031,425
73964895,14862
74173698,5997
75190475,7371
75587993,1850
75710587,4067
76678740,2165
76768630,2818
77023811,3128
77321225,749
77341954,2576
78200488,5591
78313173,10446
78732688,851
79263545,225
79372336,2123
80240424,4369
82841862,7011
83542054,1802
83878269,15814
84099393,193
84949566,2054
85768267,227
86599573,6645
87067212,9943
88113789,2319
88222263,1754
90733436,3839
90862638,1938
91857770,802
92287968,15426
94956993,1531
95574086,2034
96012614,744
96256108,709
96416890,184
96853855,1989
97794087,815
97817788,115
98441914,1064
98499283,7329
99139417,181
99379143,1968
99412308,9552
99561213,3029
102067496,2182
102102105,769
102538419,837
102692863,21300
103229836,1680
104722806,5109
104854615,7860
105769029,1222
105808063,218
107108009,4280
107111421,73522
107115042,1857
107305157,1779
107878597,202
108945887,4907
109678660,1761
110606051,650
111699912,889
112103066,6941
112488313,1535
113166974,6701
113577479,1300
114540126,3093
114870155,3666
115673437,1851
115744122,4665
116590428,2649
116697549,3582
116797311,12226
117433667,207
119160553,40063
119741627,474
120720556,2089
121637551,9534
122595764,134
122715432,1667
122816625,1485
123197101,1409
123693096,442
124853261,3524
124882400,1099
125007217,1126
125099497,562
125444399,1772
125862390,2286
128061014,180
129847467,3309
131582572,20789
131881622,14846
131955509,273
132464395,157760
133060053,3543
133444044,2268
134584107,109
136799312,891
137123785,275
137789266,1674
138141023,216
138552196,25455
139945544,876
142422739,10893
142569591,248
142908872,6581
143284193,2674
143328315,39544
145693916,11315
146103950,1824
146435045,4728
146633589,37484
146856200,2890
146863062,5405
147229508,416
148067600,197
148550577,330
150864645,1080
151619717,38528
151904296,1951
152071156,879
156157055,49066
156317154,15153
156401841,9916
156946744,6518
157198623,12834
157908837,177
158025053,688
158673445,4648
158744344,3438
159110178,3129
159797814,952
159916548,3031
160361977,3690
161247988,3397
162021652,8152
163235189,1652
164433070,4272
165041732,25865
165645094,617
166911196,285
167694194,35051
168062479,211
168149502,1764
168269440,6346
169158585,2931
169991845,921
170118596,6134
170777132,7045
171564291,230
172407982,841
172519084,175
173005932,2274
173544440,7737
173827642,1465
175052225,10316
176858880,4667
176982014,17414
177614859,627
178470457,504
178626720,31288
178976529,8784
180307968,1534
180827233,9508
181222410,3399
